Maple;DLMF;Number of Variables;Maple-DLMF-Comment;Maple-Constraints;Maple-Branch Cuts;DLMF-Alternatives;Maple-Link
arccsc($0);\acsc@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
arccot($0);\acot@@{$0};1;;;(- I infinity, - I ), ( I, I infinity );\frac{\cpi}{2}-\atan@@{$0};https://www.maplesoft.com/support/help/maple/view.aspx?path=invtrig
;;;;;;;
arcsinh($0);\asinh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arcsinh
arccosh($0);\acosh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arccosh
arctanh($0);\atanh@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arctanh
arcsech($0);\asech@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arcsech
arccsch($0);\acsch@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arccsch
arccoth($0);\acoth@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=arccoth
;;;;;;;
ln($0);\ln@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=ln
log($0);\log@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=log
log[$0]($1);\genlog{$0}@@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=log
;;;;;;;
exp($0);\exp@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=exp
;;;;;;;
LambertW($0);\LambertW@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=LambertW
LambertW($0, $1);\LambertW@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=LambertW
;;;;;;;
Si($0);\sinint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Si
Ssi($0);\shiftsinint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Ssi
Ci($0);\cosint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Ci
Shi($0);\sinhint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Shi
Chi($0);\coshint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Chi
;;;;;;;
;\Gudermannian@@{x};;;;;;
;\aGudermannian@@{x};;;;;;
;;;;;;;
Ei($0);\expintE@{$0};1;;;;\expintEi@{$0};https://www.maplesoft.com/support/help/maple/view.aspx?path=Ei
Ei($0, $1);\genexpintE{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Ei
Li($0);\logint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Li
dilog($0);\dilog@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=dilog
polylog($0, $1);\polylog{$0}@{$1};2;;;;\Jonquierephi@{$1}{$0};https://www.maplesoft.com/support/help/maple/view.aspx?path=polylog
;;;;;;;
gamma($0);\StieltjesConstants{$0};1;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=initialconstants
;;;;;;;
Matrix([[],[]]);\Matrix{A};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=Matrix
Vector([$0]);\Vector{$0};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=Vector
Trace(X);\trace \Matrix{X};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=LinearAlgebra/Trace
Transpose(X);\transpose \Matrix{X};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=LinearAlgebra/Transpose
exp(Trace(X));\exptrace@{\Matrix{X}};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=LinearAlgebra/Trace
Determinant(A);\det A;;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=LinearAlgebra/Determinant
;;;;;;;
argument($0);\phase@@{$0};1;;;;;http://www.maplesoft.com/support/help/maple/view.aspx?path=argument
conjugate($0);\conj{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=conjugate
Re($0);\realpart@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Re
Im($0);\imagpart@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Im
sqrt($0);\sqrt{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=sqrt
csgn($0);\sign@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=csgn
signum($0);\sign@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=signum
surd($1, $0);\sqrt[$1]{$0};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=surd
binomial($0, $1);\binom{$0}{$1};2;;;;\binom{$0}{$1};https://www.maplesoft.com/support/help/maple/view.aspx?path=binomial
multinomial($0, $1);\multinomial{m}{n_1,...,n_k};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=combinat/multinomial
gcd($0, $1);\pgcd{$0, $1};1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=gcd
factorial($0);($0)!;1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=factorial
doublefactorial($0);($0)!!;1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=doublefactorial
;;;;;;;
floor($0);\floor{$0} ;1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=floor
ceil($0);\ceiling{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=ceil
;\inf;;;;;;not defined
;\sup;;;;;;not defined
sum(f,k);;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
sum(f,k,a);\Sum{$1}{$2}{$2}@{$0};3;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
sum(f,k,a,b);\Sum{$1}{$2}{$3}@{$0};4;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
Sum(f,k);;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
Sum(f,k,a);\Sum{$1}{$2}{$2}@{$0};3;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
Sum(f,k,a,b);\Sum{$1}{$2}{$3}@{$0};4;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=sum
product(f,k);;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
product(f,k,a);\Prod{$1}{$2}{$2}@{$0};3;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
product(f,k,a,b);\Prod{$1}{$2}{$3}@{$0};4;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
Product(f,k);;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
Product(f,k,a);\Prod{$1}{$2}{$2}@{$0};3;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
Product(f,k,a,b);\Prod{$1}{$2}{$3}@{$0};4;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=product
;\Wronskian@{w1(z),w2(z)};;;;;;not defined
;\Residue;;;;;;not defined
numelems(A);\card{A};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=numelems
;\cartprod;;;;;;not defined
;\divides;;;;;;not defined
;\liminf;;;;;;not defined
mod;$0 \mod $1;2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=mod
modp;$0 \mod $1;2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=mod
mods;;;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=mod
;\opminus;;;;;;not defined
;\poly{p}{n}@{x};;;;;;not defined
numbcomp($1, $0);\ncompositions[$1]@{$0};2;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=combinat%2Fnumbcomp
;\intinnerprod{f}{g};;;;;;not defined
;\Lattice{L};;;;;;not defined
;\fDiff[x];;;;;;not defined
;\bDiff[x];;;;;;not defined
;\cDiff[x];;;;;;not defined
diff($0, $1);\deriv{$0}{$1};2;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=diff
diff($0, $1);\pderiv{$0}{$1};2;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=diff
;\diff{x};;;;;;not defined
;\pdiff{x};;;;;;not defined
int($1, $0);\AntiDer@{$1}{$0};2;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=int
int($3, $2 = $0 .. $1);\Int{$2}{$3}@{$1}{$0};4;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=int
;\Schwarzian{z}{\zeta};;;;;;not defined
;\Complexes;;;;;;not defined
;\Reals;;;;;;not defined
;\Rationals;;;;;;not defined
;\Integers;;;;;;not defined
;\natNumbers;;;;;;not defined
;\continuous@{A};;;;;;not defined
;\SpaceTestFunTempered@{A};;;;;;not defined
in;$0 \in $1;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=in
union;;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=union
intersect;;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=intersect
minus;$0 \setminus $1;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=minus
subset;$0 \subseteq $1;2;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=subset
;\subset;;;;;;not defined
;\setmod;;;;;;not defined
;\npartitions{n};;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=combinat/partition
;\npartitions[k]@{n};;;;;;not defined
permute($0);\npermutations{$0};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=combinat/permute
;\nplanepartitions@{n};;;;;;not defined
;\nrestpartitions[k]@{\mathrm{condition}}{n};;;;;;not defined
;\nrestcompositions@{\mathrm{condition}}{n};;;;;;not defined
;\bigO@{x};;;;;;not defined
;\littleo@{x};;;;;;not defined
;\sim;;;;;;not defined
abs($0);\abs{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=abs
limit($2, $0 = $1);\Lim{$1}{$2}@{$0};3;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
AiryAi($0);\AiryAi@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Airy
AiryBi($0);\AiryBi@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Airy
;\AirymodM@{z};;;;;;not defined
;\AirymodderivN@{z};;;;;;not defined
;\Airyphasederivphi@{z};;;;;;not defined
;\Airyphasetheta@{z};;;;;;not defined
;\genAiryODEA{n}@{z};;;;;;not defined
;\genAiryODEB{n}@{z};;;;;;not defined
;\genAiryintA{k}@{z}{p};;;;;;not defined
;\genAiryintB{k}@{z}{p};;;;;;not defined
;\zAirya{k};;;;;;not defined
;\zderivAirya{k};;;;;;not defined
;\zAiryb{k};;;;;;not defined
;\zderivAiryb{k};;;;;;not defined
;\zAirybeta{k};;;;;;not defined
;\zderivAirybeta{k};;;;;;not defined
;;;;;;;
AngerJ($0, $1);\AngerJ{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=AngerJ
WeberE($0, $1);\WeberE{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=AngerJ
;\AngerWeberA{v}@{x};;;;;;not defined
;;;;;;;
;\AppellF{1}@{\alpha}{\beta}{\beta'}{\gamma}{x}{y};;;;;;not defined
;\AppellF{2}@{\alpha}{\beta}{\beta'}{\gamma}{\gamma'}{x}{y};;;;;;not defined
;\AppellF{3}@{\alpha}{\alpha'}{\beta}{\beta'}{\gamma}{x}{y};;;;;;not defined
;\AppellF{4}@{\alpha}{\beta}{\gamma}{\gamma'}{x}{y};;;;;;not defined
;;;;;;;
BesselJ($0, $1);\BesselJ{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
BesselY($0, $1);\BesselY{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
HankelH1($0, $1);\HankelH{1}{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
HankelH2($0, $1);\HankelH{2}{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
;\HankelmodM{\nu}@{x};;;;;;not defined
;\HankelmodderivN{\nu}@{x};;;;;;not defined
;\Hankelphasetheta{\nu}@{x};;;;;;not defined
;\Hankelphasederivphi{\nu}@{x};;;;;;not defined
;\zBesselj{\nu}{m};;;;;;not defined
;\zderivBesselj{\nu}{m};;;;;;not defined
;\zBessely{\nu}{m};;;;;;not defined
;\zderivBessely{\nu}{m};;;;;;not defined
;\BesselJimag{\nu}@{x};;;;;;not defined
;\BesselYimag{\nu}@{x};;;;;;not defined
BesselI($0, $1);\modBesselI{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
BesselK($0, $1);\modBesselK{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Bessel
;\modcylinder{\nu}@{z};;;;;;not defined
;\modBesselIimag{\nu}@{x};;;;;;not defined
;\modBesselKimag{\nu}@{x};;;;;;not defined
;\genBesselphi@{\rho}{\beta}{z};;;;;;not defined
;\MittagLefflerE{a}{b}@{z};;;;;;not defined
;\sphBesselJ{n}@{z};;;;;;not defined
;\sphBesselY{n}@{z};;;;;;not defined
;\sphHankelh{1}{n}@{z};;;;;;not defined
;\sphHankelh{2}{n}@{z};;;;;;not defined
;\modsphBesseli{1}{n}@{z};;;;;;not defined
;\modsphBesseli{2}{n}@{z};;;;;;not defined
;\modsphBesselK{n}@{z};;;;;;not defined
;\BesselAmat{\nu}@{\Matrix{T}};;;;;;not defined
;\BesselBmat{\nu}@{\Matrix{T}};;;;;;not defined
;\JacksonqBesselI{\nu}@{z}{q};;;;;;not defined
;\JacksonqBesselII{\nu}@{z}{q};;;;;;not defined
;\JacksonqBesselIII{\nu}@{z}{q};;;;;;not defined
;;;;;;;
;\BickleyKi{\alpha}@{x};;;;;;not defined
;;;;;;;
Beta($0, $1);\EulerBeta@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Beta
;\incBeta{x}@{a}{b};;;;;;not defined
;\normincBetaI{x}@{a}{b};;;;;;not defined
;\multivarEulerBeta{m}@{a}{b};;;;;;not defined
;;;;;;;
;\canonint{K}@{\Vector{x}};;;;;;not defined
;\umbcanonint@{\Vector{x}};;;;;;not defined
;\ellumbcanonint@{\Vector{x}};;;;;;not defined
;\hyperumbcanonint@{\Vector{x}};;;;;;not defined
;;;;;;;
;\Catalannumber@{n};;;;;;not defined
;;;;;;;
;\cuspcatastrophe{K}@{t}{\Vector{x}};;;;;;not defined
;\ellumbcatastrophe@{s}{t}{\Vector{x}};;;;;;not defined
;\hyperumbcatastrophe@{s}{t}{\Vector{x}};;;;;;not defined
;\diffrcanonint{K}@{\Vector{x}}{k};;;;;;not defined
;\umbdiffrcanonint@{\Vector{x}}{k};;;;;;not defined
;\ellumbdiffrcanonint@{\Vector{x}}{k};;;;;;not defined
;\hyperumbdiffrcanonint@{\Vector{x}}{k};;;;;;not defined
;;;;;;;
;\ChebyshevPsi@{x};;;;;;not defined
;;;;;;;
CoulombF($0, $1, $2);\regCoulombF{$0}@{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=CoulombF
;\regCoulombf@{\epsilon}{\ell}{r};;;;;;not defined
;\irregCoulombc@{\epsilon}{\ell}{r};;;;;;not defined
;\regCoulombs@{\epsilon}{\ell}{r};;;;;;not defined
;\irregCoulombh@{\epsilon}{\ell}{r};;;;;;not defined
;\irregCoulombG{\ell}@{\eta}{\rho};;;;;;not defined
;\irregCoulombH{\pm}{\ell}@{\eta}{\rho};;;;;;not defined
;\normCoulombC{\ell}@{\eta};;;;;;not defined
;\Coulombphasetheta{\ell}@{\eta}{\rho};;;;;;not defined
;\Coulombphasesigma{\ell}@{\eta};;;;;;not defined
;\envCoulumbM{\ell}@{\eta}{\rho};;;;;;not defined
;\Coulombturnrho@{\eta}{\ell};;;;;;not defined
;\Coulombturnr@{\epsilon}{\ell};;;;;;not defined
;;;;;;;
;\BesselC{\nu}@{z};;;;;;not defined
CylinderU($0, $1);\paraU@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=CylinderU
;\paraUbar@{a}{x};;;;;;not defined
CylinderV($0, $1);\paraV@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=CylinderV
;\paraW@{a}{x};;;;;;not defined
CylinderD($0, $1);\WhittakerparaD{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=CylinderD
;;;;;;;
dawson($0);\DawsonsintF@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=dawson
;;;;;;;
;\Dedekindeta@{\tau};;;;;;not defined
;;;;;;;
Dirac($0);\Diracdelta@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Dirac
;\deltaDistribution;;;;;;not defined
;;;;;;;
;\DirichletL@{s}{\chi};;;;;;not defined
;\Dirichletchar@@{n}{k};;;;;;not defined
;;;;;;;
;\DiscriminantDelta@{\tau};;;;;;not defined
;;;;;;;
ifactor($0);\nprimesdiv@{$0};1;;;;;https://www.maplesoft.com/support/help/Maple/view.aspx?path=ifactor
;\nprimes@{x};;;;;;not defined
;\ndivisors[k]@{n};;;;;;not defined
numelems(divisors($0));\ndivisors@{n};1;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=numtheory/divisors%28deprecated%29
;\sumdivisors{\alpha}@{n};;;;;;not defined
add(divisors($0));\sumdivisors{1}@{n};1;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=numtheory/divisors%28deprecated%29
;\JordanJ{k}@{n};;;;;;not defined
;\Moebiusmu@{n};;;;;;not defined
;\Liouvillelambda@{n};;;;;;not defined
;\MangoldtLambda@{n};;;;;;not defined
;;;;;;;
;\Bulirschcompellintcel@{k_c}{p}{a}{b};;;;;;not defined
;\Bulirschincellintel{1}@{x}{k_c};;;;;;not defined
;\Bulirschincellintel{2}@{x}{k_c}{a}{b};;;;;;not defined
;\Bulirschincellintel{3}@{x}{k_c}{p};;;;;;not defined
;\Carlsonmultivarhyper{-a}@{\Vector{b}}{\Vector{z}};;;;;;not defined
;\CarlsonsymellintRF@@{x}{y}{z};;;;;;not defined
;\CarlsonsymellintRJ@@{x}{y}{z}{p};;;;;;not defined
;\CarlsonsymellintRG@@{x}{y}{z};;;;;;not defined
;\CarlsonsymellintRD@@{x}{y}{z};;;;;;not defined
;\CarlsonellintRC@@{x}{y};;;;;;not defined
;;;;;;;
;\EulersumH@{s};;;;;;not defined
;\genEulersumH@{s}{z};;;;;;not defined
;\EulerPhi@{x};;;;;;not defined
;\Eulertotientphi[k]@{n};;;;;;http://www.maplesoft.com/support/help/Maple/view.aspx?path=numtheory/phi%28deprecated%29
;\Euleriannumber{n}{k};;;;;;not defined
;;;;;;;
erf($0);\erf@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=erf
erfi($0);-\iunit \erf@@{\iunit $0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=erfi
erfc($0);\erfc@@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=erfc
;\Faddeeva@{z};;;;;;not defined
;\inverf@@{x};;;;;;not defined
;\inverfc@@{x};;;;;;not defined
erfc($0, $1);\repinterfc{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=erfc
;\FishersHh{n}@{z};;;;;;not defined
;;;;;;;
;\FibonacciNumber{n};;;;;;not defined
;;;;;;;
;\FresnelintF@{z};;;;;;not defined
FresnelC($0);\Fresnelcosint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=FresnelC
FresnelS($0);\Fresnelsinint@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=FresnelS
Fresnelf($0);\auxFresnelf@{$0} ;1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Fresnelf
Fresnelg($0);\auxFresnelg@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Fresnelg
;;;;;;;
GAMMA($0);\EulerGamma@{z};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GAMMA
;\incgamma@{a}{z};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GAMMA
GAMMA($0, $1);\incGamma@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GAMMA
lnGAMMA($1);\ln@@{\EulerGamma@{$0}};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=lnGAMMA
Psi($0);\digamma@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Psi
Psi($0, $1);\polygamma{$0}@{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Psi
;\BarnesG@{z};;;;;;not defined
;\normincGammaP@{a}{z};;;;;;not defined
;\normincGammaQ@{a}{z};;;;;;not defined
;\scincgamma@{a}{z};;;;;;not defined
;\multivarEulerGamma{m}@{a};;;;;;not defined
;;;;;;;
GaussAGM($0, $1);\AGM@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=GaussAGM
;\Gausssum@{n}{\Dirichletchar};;;;;;not defined
;;;;;;;
;\GoodwinStatonint@{z};;;;;;not defined
;;;;;;;
harmonic($0);\HarmonicNumber{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=harmonic
SphericalY($0, $1, $2, $3);\sphharmonicY{$0}{$1}@{$2}{$3};4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=SphericalY
;\surfharmonicY{l}{m}@{\theta}{\phi};;;;;;not defined
;;;;;;;
Heaviside($0);\HeavisideH@{$0};1;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=Heaviside
;;;;;;;
HeunG($0, $1, $2, $3, $4, $5, $6);\HeunHl@@{$0}{$1}{$2}{$3}{$4}{$5}{$6};6;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HeunG
HeunC(alpha, beta, gamma, delta, eta, z);;6;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HeunC
HeunB(alpha, beta, gamma, delta, z);;5;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HeunB
HeunD(alpha, beta, gamma, delta, z);;5;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HeunD
HeunT(alpha, beta, gamma, z);;4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=HeunT
;\HeunHf{m}{a}{b}@@{a}{q}{\alpha}{\beta}{\gamma}{\delta}{z};;;;;;not defined
;;;;;;;
hypergeom([$0, $1], [$2], $3);\hyperF@@@{$0}{$1}{$2}{$3};4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=hypergeom
hypergeom([$2], [$3], $4);\genhyperOlverF{2}{1}@{a,b}{c}{z};;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=hypergeom
hypergeom([$2], [$3], $4);\genhyperF{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};4;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=hypergeom
;\genhyperH{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};;;;;;not defined
;\hyperOlverF@@@{a}{b}{c}{z};;;;;;not defined
;"\genhyperOlverF{p}{q}@@
{\Vector{a}}{\Vector{b}}{z}";;;;;;not defined
KummerM(a,b,z);\KummerconfhyperM@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KummerK
KummerU(a,b,z);\KummerconfhyperU@{$0}{$1}{$2};3;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=KummerU
;\OlverconfhyperM@{a}{b}{z};;;;;;not defined
;\genhyperPsimat@{a}{b}{\Matrix{T}};;;;;;not defined
;\LauricellaFD@{a}{b_1,...,b_n}{c}{z_1,...,z_n};;;;;;not defined
;\RiemannsymP@{\begin{Bmatrix} \alpha & \beta &\gamma & \\ a_1 & b_1 & c_1 & z \\ a_2 & b_2 & c_2 & \end{Bmatrix}};;;;;;not defined
;;;;;;;
;\idem@{\chi_1}{\chi_1,...,\chi_n};;;;;;not defined
;;;;;;;
;\Jacobiphi{\alpha}{\beta}{\lambda}@{t};;;;;;not defined
1/JacobiQP;\genJacobiellk{p}{q};;;;;;not defined
JacobiAM($0, $1);\Jacobiamk@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
JacobiSN($0, $1);\Jacobiellsnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiSN
JacobiCN($0, $1);\Jacobiellcnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiCN
JacobiDN($0, $1);\Jacobielldnk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiDN
JacobiSD($0, $1);\Jacobiellsdk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiSD
JacobiCD($0, $1);\Jacobiellcdk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiCD
JacobiSC($0, $1);\Jacobiellsck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiSC
JacobiNS($0, $1);\Jacobiellnsk@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
JacobiNC($0, $1);\Jacobiellnck@@{$0}{$1};2;;;;;https://www.maplesoft.com/support/help/maple/view.aspx?path=JacobiAM
